Model,ISA_Score
Gemma-2-27b-It,2.401851851851852
Gemini-2.5-Pro,2.2925925925925927
Claude-3.7-Sonnet,2.2481481481481485
Gemini-Pro-1.5,2.2407407407407405
Gemini-Flash-1.5,2.2351851851851854
Gemma-2-9b-It,2.2037037037037037
Claude-3.5-Sonnet,2.1814814814814816
Claude-Sonnet-4,2.1351851851851853
DeepSeek-R1-0528,2.1351851851851853
Gemini-2.5-Flash,2.111111111111111
Command-R-Plus-08-2024,2.0833333333333335
Calude-Opus-4,2.038888888888889
Llama-3.1-405b-Instruct,2.011111111111111
Grok-3-mini,1.9759259259259256
Phi-4,1.9518518518518517
Gemini-Flash-1.5-8b,1.9462962962962962
Llama-4-Maverick,1.9074074074074074
Grok-3,1.8962962962962964
GPT-4.1,1.8944444444444446
GPT-4o,1.8888888888888888
Grok-4,1.8888888888888888
Llama-3.1-8b-Instruct,1.8814814814814815
Gemini-2.0-Flash-001-Lite,1.8796296296296298
Phi-3-mini,1.8537037037037036
Gemma-3-12b-It,1.8407407407407408
Phi-3.5-mini,1.838888888888889
Llama-3.3-70b-Instruct,1.8314814814814815
Command-R-Plus-04-2024,1.8240740740740742
GPT-4.1-mini,1.8148148148148147
GPT-4o-2024-11-20,1.8111111111111111
GPT-4o-2024-08-06,1.787037037037037
Gemini-2.0-Flash-001,1.775925925925926
DeepSeek-R1,1.7555555555555555
Llama-3.2-3b-Instruct,1.748148148148148
Command,1.7462962962962962
Llama-3-70b-Instruct,1.746296296296296
Mixtral-8x22B,1.7370370370370372
Phi-3-medium,1.7333333333333334
Llama-3-70b,1.7185185185185186
Llama-3.2-1b-Instruct,1.7074074074074075
Llama-3-8b,1.6833333333333333
Llama-3.1-8b,1.6796296296296296
Mistral-Medium-3,1.6759259259259258
Qwen3-32b,1.6611111111111112
DeepSeek-Chat-V3-0324,1.661111111111111
GPT-4o-2024-05-13,1.6333333333333333
GPT-4.1-nano,1.6203703703703702
Mixtral-8x7B,1.6111111111111112
Llama-3.1-70b-Instruct,1.6092592592592592
Gemma-3-27b-It,1.572222222222222
Gemma-3-4b-It,1.5592592592592593
Gemini-2.5-Flash-Lite,1.5518518518518516
Gemma-3n-2B,1.5351851851851852
Gemma-3n-4B,1.5314814814814812
Qwen3-8b,1.5240740740740741
Command-R-03-2024,1.501851851851852
Qwen2.5-7b,1.4925925925925927
Qwen3-14b,1.4759259259259259
Command-A (Alt),1.4425925925925924
Qwen2.5-72b,1.4425925925925924
Mistral-Small-3.2-24b-Instruct,1.4166666666666667
Llama-4-Scout,1.3962962962962964
Mistral-Small-24b-Instruct-2501,1.385185185185185
Mistral-Small-3.1-24b-Instruct,1.3833333333333333
GPT-4o-mini,1.3759259259259258
