Model,AI,AH,B,VC,A,OS,SS,N,PC,ISA_Score
GPT-4o,2.0,2.0,2.6,2.5,2.0,2.0,2.2,2.0,2.5,2.1999999999999997
GPT-4o-mini,2.25,2.0,2.0,2.0,1.6666666666666667,2.5,1.6,1.75,2.0,1.9740740740740739
Qwen3-32b,2.5,2.0,2.8,3.0,2.0,2.0,2.0,2.25,2.5,2.338888888888889
Qwen2.5-72b,2.25,2.3333333333333335,2.6,2.5,1.3333333333333333,2.5,1.6,2.25,2.0,2.151851851851852
Gemini-2.5-Flash,2.5,2.6666666666666665,2.6,3.0,2.6666666666666665,3.0,2.6,2.5,2.0,2.6148148148148147
Gemini-Flash-1.5,2.75,2.6666666666666665,2.6,3.0,2.6666666666666665,3.0,2.4,3.0,2.0,2.6759259259259256
Gemma-3-4b-It,1.5,1.6666666666666667,1.8,1.5,1.0,1.0,1.8,1.25,2.0,1.5018518518518518
Gemma-3-12b-It,2.75,2.0,2.4,3.0,2.0,2.5,2.4,2.5,2.5,2.45
Mistral-Small-3.2-24b-Instruct,2.25,2.3333333333333335,2.8,2.5,2.0,2.5,2.2,2.25,2.0,2.314814814814815
Mistral-Medium-3,3.0,2.3333333333333335,2.8,3.0,2.3333333333333335,2.5,2.4,2.75,2.5,2.6240740740740742
Mixtral-8x22B,2.0,2.0,2.2,2.0,1.6666666666666667,2.5,2.4,2.0,2.0,2.085185185185185
Llama-3.1-70b-Instruct,2.5,2.3333333333333335,2.8,3.0,2.3333333333333335,2.5,2.2,2.5,2.5,2.5185185185185186
Llama-3.2-3b-Instruct,2.25,1.3333333333333333,2.4,2.5,2.0,2.5,1.8,2.25,2.0,2.114814814814815
Llama-4-Scout,2.0,1.6666666666666667,2.2,2.5,1.3333333333333333,2.0,1.8,2.25,2.0,1.9722222222222223
Command-R-Plus-08-2024,2.5,2.3333333333333335,2.8,2.0,2.3333333333333335,3.0,2.2,3.0,3.0,2.5740740740740744
Command,2.25,1.6666666666666667,2.4,1.5,1.6666666666666667,2.5,1.8,2.0,2.0,1.9759259259259256
Claude-Sonnet-4,2.75,3.0,3.0,3.0,2.6666666666666665,2.5,2.8,3.0,2.0,2.746296296296296
Calude-Opus-4,3.0,2.3333333333333335,3.0,3.0,2.3333333333333335,2.5,2.8,2.25,2.5,2.6351851851851853
Grok-4,2.5,2.6666666666666665,3.0,3.0,2.6666666666666665,2.5,2.4,3.0,2.5,2.6925925925925926
Phi-3-medium,2.0,1.3333333333333333,1.6,1.0,1.3333333333333333,2.5,1.4,1.25,1.5,1.5462962962962963
